Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2022-05-14,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2022-05-15,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-05-16,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-05-17,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2022-05-18,Summer,Offshore Wind,0,Onshore Wind,2,Solar,1
2022-05-19,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-05-20,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-05-21,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-05-22,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-05-23,Summer,Offshore Wind,0,Onshore Wind,2,Solar,1
2022-05-24,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2022-05-25,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2022-05-26,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2022-05-27,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2022-05-28,Summer,Offshore Wind,0,Onshore Wind,2,Solar,1
2022-05-29,Summer,Offshore Wind,1,Onshore Wind,0,Solar,1
2022-05-30,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-05-31,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-06-01,Summer,Offshore Wind,1,Onshore Wind,0,Solar,0
2022-06-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-06-03,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-06-04,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-06-05,Summer,Offshore Wind,2,Onshore Wind,2,Solar,2
2022-06-06,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-06-07,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-06-08,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-06-09,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-06-10,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-06-11,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-06-12,Summer,Offshore Wind,2,Onshore Wind,0,Solar,0
2022-06-13,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2022-06-14,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
